Voltage,Flow,Distan,O2,H2o,Frequency,NO
8,4,11,0,0,8,0.68
8,5,11,0,0,8,0.59
6,0.3,5,0,0,8,0.215
6,0.4,5,0,0,8,1
6,0.5,5,0,0,8,1.62
6,0.6,5,0,0,8,1.9
6,0.7,5,0,0,8,2.06
6,0.8,5,0,0,8,2.1
6,0.9,5,0,0,8,2.08
6,1,5,0,0,8,1.83
6,1.2,5,0,0,8,1.415
6,1.4,5,0,0,8,1.055
6,1.5,5,0,0,8,0.98
6,1.6,5,0,0,8,0.885
6,2,5,0,0,8,0.655
6,3,5,0,0,8,0.385
6,4,5,0,0,8,0.235
6,5,5,0,0,8,0.195
7,0.3,5,0,0,8,0.25
7,0.4,5,0,0,8,1.4
7,0.5,5,0,0,8,2.735
7,0.6,5,0,0,8,2.8
7,0.7,5,0,0,8,2.6
7,0.8,5,0,0,8,2.215
7,0.9,5,0,0,8,2
7,1,5,0,0,8,1.79
7,1.2,5,0,0,8,1.365
7,1.4,5,0,0,8,1
7,1.5,5,0,0,8,0.955
7,1.6,5,0,0,8,0.835
7,2,5,0,0,8,0.64
7,3,5,0,0,8,0.485
7,4,5,0,0,8,0.325
7,5,5,0,0,8,0.245
8,0.3,5,0,0,8,0.9
8,0.4,5,0,0,8,2
8,0.5,5,0,0,8,3.36
8,0.6,5,0,0,8,3.245
8,0.7,5,0,0,8,2.915
8,0.8,5,0,0,8,2.5
8,0.9,5,0,0,8,2.12
8,1,5,0,0,8,1.725
8,1.2,5,0,0,8,1.22
8,1.4,5,0,0,8,0.995
8,1.5,5,0,0,8,0.905
8,1.6,5,0,0,8,0.79
8,2,5,0,0,8,0.705
8,3,5,0,0,8,0.575
8,4,5,0,0,8,0.41
8,5,5,0,0,8,0.295
9,0.3,5,0,0,8,1.75
9,0.4,5,0,0,8,2.9
9,0.5,5,0,0,8,3.435
9,0.6,5,0,0,8,3.345
9,0.7,5,0,0,8,3.015
9,0.8,5,0,0,8,2.5
9,0.9,5,0,0,8,2.14
9,1,5,0,0,8,1.625
9,1.2,5,0,0,8,1.07
9,1.4,5,0,0,8,0.895
9,1.5,5,0,0,8,0.855
9,1.6,5,0,0,8,0.75
9,2,5,0,0,8,0.675
9,3,5,0,0,8,0.54
9,4,5,0,0,8,0.46
9,5,5,0,0,8,0.295
10,0.3,5,0,0,8,2.8
10,0.4,5,0,0,8,3.425
10,0.5,5,0,0,8,3.51
10,0.6,5,0,0,8,3.25
10,0.7,5,0,0,8,2.85
10,0.8,5,0,0,8,2.3
10,0.9,5,0,0,8,1.825
10,1,5,0,0,8,1.365
10,1.2,5,0,0,8,0.835
10,1.4,5,0,0,8,0.75
10,1.5,5,0,0,8,0.705
10,1.6,5,0,0,8,0.67
10,2,5,0,0,8,0.615
10,3,5,0,0,8,0.5
10,4,5,0,0,8,0.42
10,5,5,0,0,8,0.315
8,0.5,5,0,0,1,1.5
8,0.5,5,0,0,2,2.65
8,0.5,5,0,0,3,3.025
8,0.5,5,0,0,4,3.15
8,0.5,5,0,0,5,3.24
8,0.5,5,0,0,6,3.285
8,0.5,5,0,0,7,3.325
8,0.5,5,0,0,8,3.36
8,0.5,5,0,0,9,3.375
8,1,5,0,0,1,1
8,1,5,0,0,2,1.275
8,1,5,0,0,3,1.5
8,1,5,0,0,4,1.59
8,1,5,0,0,5,1.65
8,1,5,0,0,6,1.675
8,1,5,0,0,7,1.7
8,1,5,0,0,8,1.725
8,1,5,0,0,9,1.74
8,1.5,5,0,0,1,0.67
8,1.5,5,0,0,2,0.765
8,1.5,5,0,0,3,0.835
8,1.5,5,0,0,4,0.85
8,1.5,5,0,0,5,0.875
8,1.5,5,0,0,6,0.89
8,1.5,5,0,0,7,0.9
8,1.5,5,0,0,8,0.905
8,1.5,5,0,0,9,0.925
8,2,5,0,0,1,0.625
8,2,5,0,0,2,0.67
8,2,5,0,0,3,0.71
8,2,5,0,0,4,0.725
8,2,5,0,0,5,0.75
8,2,5,0,0,6,0.725
8,2,5,0,0,7,0.71
8,2,5,0,0,8,0.705
8,2,5,0,0,9,0.725
8,0.5,5,0,0,8,3.36
8,0.5,5,0,20,8,3.5
8,0.5,5,0,40,8,3.585
8,0.5,5,0,60,8,3.485
8,0.5,5,0,100,8,3.1
8,0.5,5,0,150,8,2.75
8,0.5,5,0,200,8,2.285
8,0.5,5,0,250,8,1.95
8,0.5,5,0,300,8,1.625
8,0.5,5,0,350,8,1.35
8,0.5,5,0,400,8,1.065
8,0.5,5,0,500,8,0.72
8,0.5,5,0,600,8,0.41
8,0.5,5,0,700,8,0.325
8,0.5,5,0,800,8,0.265
8,0.5,5,0,1000,8,0.14
8,0.5,5,0,1200,8,0.1
8,0.5,7,0,0,8,0.75
8,0.5,7,0,20,8,0.7
8,0.5,7,0,40,8,0.675
8,0.5,7,0,60,8,0.625
8,0.5,7,0,100,8,0.55
8,0.5,7,0,150,8,0.425
8,0.5,7,0,200,8,0.35
8,0.5,7,0,250,8,0.325
8,0.5,7,0,300,8,0.285
8,0.5,7,0,350,8,0.25
8,0.5,7,0,400,8,0.225
8,0.5,7,0,500,8,0.21
8,0.5,7,0,600,8,0.19
8,0.5,7,0,700,8,0.165
8,0.5,7,0,800,8,0.15
8,0.5,7,0,1000,8,0.12
8,0.5,7,0,1200,8,0.09
8,0.5,9,0,0,8,0.115
8,0.5,9,0,20,8,0.1
8,0.5,9,0,40,8,0.095
8,0.5,9,0,60,8,0.09
8,0.5,9,0,100,8,0.095
8,0.5,9,0,150,8,0.085
8,0.5,9,0,200,8,0.085
8,0.5,9,0,250,8,0.075
8,0.5,9,0,300,8,0.07
8,0.5,9,0,350,8,0.06
8,0.5,9,0,400,8,0.05
8,0.5,9,0,500,8,0.055
8,0.5,9,0,600,8,0.04
8,0.5,9,0,700,8,0.045
8,0.5,9,0,800,8,0.035
8,0.5,9,0,1000,8,0.03
8,0.5,9,0,1200,8,0.035
8,1,5,0,0,8,1.725
8,1,5,0,20,8,1.85
8,1,5,0,40,8,2.075
8,1,5,0,60,8,2.235
8,1,5,0,100,8,2.495
8,1,5,0,150,8,2.555
8,1,5,0,200,8,2.345
8,1,5,0,250,8,2.15
8,1,5,0,300,8,1.91
8,1,5,0,350,8,1.645
8,1,5,0,400,8,1.35
8,1,5,0,500,8,0.95
8,1,5,0,600,8,0.67
8,1,5,0,700,8,0.5
8,1,5,0,800,8,0.385
8,1,5,0,1000,8,0.24
8,1,5,0,1200,8,0.2
8,1,7,0,0,8,2.555
8,1,7,0,20,8,2.65
8,1,7,0,40,8,2.75
8,1,7,0,60,8,2.8
8,1,7,0,100,8,2.725
8,1,7,0,150,8,2.5
8,1,7,0,200,8,2.15
8,1,7,0,250,8,1.84
8,1,7,0,300,8,1.555
8,1,7,0,350,8,1.25
8,1,7,0,400,8,0.925
8,1,7,0,500,8,0.675
8,1,7,0,600,8,0.5
8,1,7,0,700,8,0.325
8,1,7,0,800,8,0.25
8,1,7,0,1000,8,0.225
8,1,7,0,1200,8,0.175
8,1.5,5,0,0,8,0.905
8,1.5,5,0,20,8,0.975
8,1.5,5,0,40,8,1.05
8,1.5,5,0,60,8,1.15
8,1.5,5,0,80,8,1.25
8,1.5,5,0,100,8,1.345
8,1.5,5,0,150,8,1.55
8,1.5,5,0,200,8,1.745
8,1.5,5,0,250,8,1.875
8,1.5,5,0,300,8,2.045
8,1.5,5,0,350,8,2
8,1.5,5,0,400,8,1.875
8,1.5,5,0,500,8,1.615
8,1.5,5,0,600,8,1.355
8,1.5,5,0,700,8,1.155
8,1.5,5,0,800,8,1.005
8,1.5,5,0,1000,8,0.78
8,1.5,5,0,1200,8,0.655
8,1.5,7,0,0,8,1.395
8,1.5,7,0,20,8,1.475
8,1.5,7,0,40,8,1.55
8,1.5,7,0,60,8,1.65
8,1.5,7,0,80,8,1.725
8,1.5,7,0,100,8,1.845
8,1.5,7,0,150,8,1.98
8,1.5,7,0,200,8,2.055
8,1.5,7,0,250,8,1.99
8,1.5,7,0,300,8,1.855
8,1.5,7,0,350,8,1.75
8,1.5,7,0,400,8,1.645
8,1.5,7,0,500,8,1.43
8,1.5,7,0,600,8,1.175
8,1.5,7,0,700,8,1.005
8,1.5,7,0,800,8,0.855
8,1.5,7,0,1000,8,0.675
8,1.5,7,0,1200,8,0.6
8,1.5,9,0,0,8,1.83
8,1.5,9,0,20,8,1.9
8,1.5,9,0,40,8,1.95
8,1.5,9,0,60,8,2
8,1.5,9,0,80,8,2.025
8,1.5,9,0,100,8,2.045
8,1.5,9,0,150,8,1.925
8,1.5,9,0,200,8,1.7
8,1.5,9,0,250,8,1.41
8,1.5,9,0,300,8,1.225
8,1.5,9,0,350,8,1.125
8,1.5,9,0,400,8,1.035
8,1.5,9,0,500,8,0.85
8,1.5,9,0,600,8,0.75
8,1.5,9,0,700,8,0.7
8,1.5,9,0,800,8,0.65
8,1.5,9,0,1000,8,0.6
8,1.5,9,0,1200,8,0.55
8,0.5,5,0,20,8,3.5
8,0.5,5,0,40,8,3.585
8,0.5,5,0,60,8,3.485
8,0.5,5,0,100,8,3.1
8,0.5,5,0,150,8,2.75
8,0.5,5,0,200,8,2.285
8,0.5,5,0,250,8,1.95
8,0.5,5,0,300,8,1.625
8,0.5,5,0,350,8,1.35
8,0.5,5,0,400,8,1.065
8,0.5,5,0,450,8,0.93
8,0.5,5,0,500,8,0.72
8,0.5,5,0,600,8,0.41
8,0.5,5,0,700,8,0.325
8,0.5,5,0,800,8,0.265
8,0.5,5,0,1000,8,0.14
8,0.5,5,0,1200,8,0.1
8,1,5,0,20,8,1.85
8,1,5,0,40,8,2.075
8,1,5,0,60,8,2.235
8,1,5,0,100,8,2.495
8,1,5,0,150,8,2.555
8,1,5,0,200,8,2.345
8,1,5,0,250,8,2.15
8,1,5,0,300,8,1.91
8,1,5,0,350,8,1.645
8,1,5,0,400,8,1.35
8,1,5,0,450,8,1.09
8,1,5,0,500,8,0.95
8,1,5,0,600,8,0.67
8,1,5,0,700,8,0.5
8,1,5,0,800,8,0.385
8,1,5,0,1000,8,0.24
8,1,5,0,1200,8,0.2
8,1.5,5,0,20,8,0.975
8,1.5,5,0,40,8,1.05
8,1.5,5,0,60,8,1.15
8,1.5,5,0,100,8,1.345
8,1.5,5,0,150,8,1.55
8,1.5,5,0,200,8,1.745
8,1.5,5,0,250,8,1.875
8,1.5,5,0,300,8,2.045
8,1.5,5,0,350,8,2
8,1.5,5,0,400,8,1.875
8,1.5,5,0,450,8,1.72
8,1.5,5,0,500,8,1.615
8,1.5,5,0,600,8,1.355
8,1.5,5,0,700,8,1.155
8,1.5,5,0,800,8,1.005
8,1.5,5,0,1000,8,0.78
8,1.5,5,0,1200,8,0.655
8,2,5,0,20,8,0.775
8,2,5,0,40,8,0.825
8,2,5,0,60,8,0.9
8,2,5,0,100,8,1.005
8,2,5,0,150,8,1.125
8,2,5,0,200,8,1.245
8,2,5,0,250,8,1.38
8,2,5,0,300,8,1.475
8,2,5,0,350,8,1.525
8,2,5,0,400,8,1.57
8,2,5,0,450,8,1.55
8,2,5,0,500,8,1.53
8,2,5,0,600,8,1.395
8,2,5,0,700,8,1.25
8,2,5,0,800,8,1.13
8,2,5,0,1000,8,0.92
8,2,5,0,1200,8,0.77
8,0.5,5,0.05,0,8,3.425
8,0.5,5,0.1,0,8,3.45
8,0.5,5,0.15,0,8,3.47
8,0.5,5,0.2,0,8,3.41
8,0.5,5,0.3,0,8,3.12
8,0.5,5,0.4,0,8,2.7
8,0.5,5,0.5,0,8,2.15
8,0.5,5,0.6,0,8,1.7
8,0.5,5,0.7,0,8,1.3
8,0.5,5,0.8,0,8,1
8,0.5,5,0.9,0,8,0.825
8,0.5,5,1,0,8,0.685
8,0.5,5,1.2,0,8,0.545
8,0.5,5,1.4,0,8,0.335
8,0.5,5,1.6,0,8,0.255
8,0.5,5,1.8,0,8,0.235
8,0.5,5,2,0,8,0.15
8,0.5,7,0.05,0,8,0.7
8,0.5,7,0.1,0,8,0.61
8,0.5,7,0.15,0,8,0.51
8,0.5,7,0.2,0,8,0.435
8,0.5,7,0.3,0,8,0.38
8,0.5,7,0.4,0,8,0.325
8,0.5,7,0.5,0,8,0.25
8,0.5,7,0.6,0,8,0.205
8,0.5,7,0.7,0,8,0.17
8,0.5,7,0.8,0,8,0.15
8,0.5,7,0.9,0,8,0.14
8,0.5,7,1,0,8,0.12
8,0.5,7,1.2,0,8,0.115
8,0.5,7,1.4,0,8,0.11
8,0.5,7,1.6,0,8,0.12
8,0.5,7,1.8,0,8,0.1
8,0.5,7,2,0,8,0.09
8,0.5,9,0.2,0,8,0.11
8,0.5,9,0.5,0,8,0.12
8,0.5,9,0.7,0,8,0.1
8,0.5,9,0.9,0,8,0.09
8,0.5,9,1.2,0,8,0.08
8,0.5,9,2,0,8,0.065
8,1,5,0.05,0,8,1.825
8,1,5,0.1,0,8,1.91
8,1,5,0.15,0,8,2.015
8,1,5,0.2,0,8,2.15
8,1,5,0.3,0,8,2.32
8,1,5,0.4,0,8,2.405
8,1,5,0.5,0,8,2.355
8,1,5,0.6,0,8,2.25
8,1,5,0.7,0,8,2.095
8,1,5,0.8,0,8,1.975
8,1,5,0.9,0,8,1.81
8,1,5,1,0,8,1.615
8,1,5,1.2,0,8,1.28
8,1,5,1.4,0,8,0.825
8,1,5,1.6,0,8,0.54
8,1,5,1.8,0,8,0.26
8,1,5,2,0,8,0.135
8,1,7,0.05,0,8,2.66
8,1,7,0.1,0,8,2.725
8,1,7,0.15,0,8,2.805
8,1,7,0.2,0,8,2.795
8,1,7,0.3,0,8,2.705
8,1,7,0.4,0,8,2.515
8,1,7,0.5,0,8,2.08
8,1,7,0.6,0,8,1.64
8,1,7,0.7,0,8,1.235
8,1,7,0.8,0,8,0.98
8,1,7,0.9,0,8,0.81
8,1,7,1,0,8,0.63
8,1,7,1.2,0,8,0.475
8,1,7,1.4,0,8,0.255
8,1,7,1.6,0,8,0.23
8,1,7,1.8,0,8,0.185
8,1,7,2,0,8,0.145
8,1.5,5,0.05,0,8,1
8,1.5,5,0.1,0,8,1.1
8,1.5,5,0.15,0,8,1.175
8,1.5,5,0.2,0,8,1.25
8,1.5,5,0.3,0,8,1.4
8,1.5,5,0.4,0,8,1.5
8,1.5,5,0.5,0,8,1.475
8,1.5,5,0.6,0,8,1.4
8,1.5,5,0.7,0,8,1.3
8,1.5,5,0.8,0,8,1.2
8,1.5,5,0.9,0,8,1.075
8,1.5,5,1,0,8,0.95
8,1.5,5,1.2,0,8,0.625
8,1.5,5,1.4,0,8,0.4
8,1.5,5,1.6,0,8,0.25
8,1.5,5,1.8,0,8,0.15
8,1.5,5,2,0,8,0.09
8,1.5,7,0.05,0,8,1.48
8,1.5,7,0.1,0,8,1.59
8,1.5,7,0.15,0,8,1.7
8,1.5,7,0.2,0,8,1.82
8,1.5,7,0.3,0,8,2
8,1.5,7,0.4,0,8,1.905
8,1.5,7,0.5,0,8,1.725
8,1.5,7,0.6,0,8,1.455
8,1.5,7,0.7,0,8,1.02
8,1.5,7,0.8,0,8,0.725
8,1.5,7,0.9,0,8,0.425
8,1.5,7,1,0,8,0.275
8,1.5,7,1.2,0,8,0.175
8,1.5,7,1.4,0,8,0.15
8,1.5,7,1.6,0,8,0.14
8,1.5,7,1.8,0,8,0.11
8,1.5,7,2,0,8,0.075
8,1.5,9,0.05,0,8,2.23
8,1.5,9,0.1,0,8,2.555
8,1.5,9,0.15,0,8,2.705
8,1.5,9,0.2,0,8,2.555
8,1.5,9,0.3,0,8,2.1
8,1.5,9,0.4,0,8,1.385
8,1.5,9,0.5,0,8,0.935
8,1.5,9,0.6,0,8,0.62
8,1.5,9,0.7,0,8,0.325
8,1.5,9,0.8,0,8,0.22
8,1.5,9,0.9,0,8,0.185
8,1.5,9,1,0,8,0.15
8,1.5,9,1.2,0,8,0.14
8,1.5,9,1.4,0,8,0.125
8,1.5,9,1.6,0,8,0.12
8,1.5,9,1.8,0,8,0.1
8,1.5,9,2,0,8,0.065
8,0.5,5,0.05,0,8,3.425
8,0.5,5,0.1,0,8,3.45
8,0.5,5,0.15,0,8,3.47
8,0.5,5,0.2,0,8,3.41
8,0.5,5,0.3,0,8,3.12
8,0.5,5,0.4,0,8,2.7
8,0.5,5,0.5,0,8,2.15
8,0.5,5,0.6,0,8,1.7
8,0.5,5,0.7,0,8,1.3
8,0.5,5,0.8,0,8,1
8,0.5,5,0.9,0,8,0.825
8,0.5,5,1,0,8,0.685
8,0.5,5,1.2,0,8,0.545
8,0.5,5,1.4,0,8,0.335
8,0.5,5,1.6,0,8,0.255
8,0.5,5,1.8,0,8,0.235
8,0.5,5,2,0,8,0.15
8,1,5,0.05,0,8,1.825
8,1,5,0.1,0,8,1.91
8,1,5,0.15,0,8,2.015
8,1,5,0.2,0,8,2.15
8,1,5,0.3,0,8,2.32
8,1,5,0.4,0,8,2.405
8,1,5,0.5,0,8,2.355
8,1,5,0.6,0,8,2.25
8,1,5,0.7,0,8,2.095
8,1,5,0.8,0,8,1.975
8,1,5,0.9,0,8,1.81
8,1,5,1,0,8,1.615
8,1,5,1.2,0,8,1.28
8,1,5,1.4,0,8,0.825
8,1,5,1.6,0,8,0.54
8,1,5,1.8,0,8,0.26
8,1,5,2,0,8,0.135
8,1.5,5,0.05,0,8,1
8,1.5,5,0.1,0,8,1.1
8,1.5,5,0.15,0,8,1.175
8,1.5,5,0.2,0,8,1.25
8,1.5,5,0.3,0,8,1.4
8,1.5,5,0.4,0,8,1.5
8,1.5,5,0.5,0,8,1.475
8,1.5,5,0.6,0,8,1.4
8,1.5,5,0.7,0,8,1.3
8,1.5,5,0.8,0,8,1.2
8,1.5,5,0.9,0,8,1.075
8,1.5,5,1,0,8,0.95
8,1.5,5,1.2,0,8,0.625
8,1.5,5,1.4,0,8,0.4
8,1.5,5,1.6,0,8,0.25
8,1.5,5,1.8,0,8,0.15
8,1.5,5,2,0,8,0.09
8,2,5,0.05,0,8,0.765
8,2,5,0.1,0,8,0.84
8,2,5,0.15,0,8,0.91
8,2,5,0.2,0,8,0.93
8,2,5,0.3,0,8,0.905
8,2,5,0.4,0,8,0.875
8,2,5,0.5,0,8,0.74
8,2,5,0.6,0,8,0.695
8,2,5,0.7,0,8,0.55
8,2,5,0.8,0,8,0.5
8,2,5,0.9,0,8,0.41
8,2,5,1,0,8,0.33
8,2,5,1.2,0,8,0.26
8,2,5,1.4,0,8,0.135
8,2,5,1.6,0,8,0.1
8,2,5,1.8,0,8,0.07
8,2,5,2,0,8,0.045
8,3,5,0,0,8,0.575
8,3,5,0.05,0,8,0.6
8,3,5,0.1,0,8,0.56
8,3,5,0.15,0,8,0.535
8,3,5,0.2,0,8,0.525
8,3,5,0.3,0,8,0.49
8,3,5,0.4,0,8,0.42
8,3,5,0.5,0,8,0.385
8,3,5,0.6,0,8,0.29
8,3,5,0.7,0,8,0.23
8,3,5,0.8,0,8,0.195
8,3,5,0.9,0,8,0.185
8,3,5,1,0,8,0.155
8,3,5,1.2,0,8,0.105
8,3,5,1.4,0,8,0.08
8,3,5,1.6,0,8,0.075
8,3,5,1.8,0,8,0.055
8,3,5,2,0,8,0.045
5,0.5,5,0,0,8,0.19
6,0.5,5,0,0,8,1.62
7,0.5,5,0,0,8,2.735
9,0.5,5,0,0,8,3.435
10,0.5,5,0,0,8,3.51
5,0.5,7,0,0,8,0.14
6,0.5,7,0,0,8,0.23
7,0.5,7,0,0,8,0.445
9,0.5,7,0,0,8,1.5
10,0.5,7,0,0,8,2.16
5,0.5,9,0,0,8,0.105
6,0.5,9,0,0,8,0.1
7,0.5,9,0,0,8,0.11
9,0.5,9,0,0,8,0.29
10,0.5,9,0,0,8,0.56
5,0.5,11,0,0,8,0.075
6,0.5,11,0,0,8,0.085
7,0.5,11,0,0,8,0.1
8,0.5,11,0,0,8,0.11
9,0.5,11,0,0,8,0.19
10,0.5,11,0,0,8,0.34
5,1,5,0,0,8,0.19
6,1,5,0,0,8,1.83
7,1,5,0,0,8,1.79
9,1,5,0,0,8,1.625
10,1,5,0,0,8,1.365
5,1,7,0,0,8,0.14
6,1,7,0,0,8,0.48
7,1,7,0,0,8,1.49
9,1,7,0,0,8,2.735
10,1,7,0,0,8,2.795
5,1,9,0,0,8,0.105
6,1,9,0,0,8,0.23
7,1,9,0,0,8,0.335
8,1,9,0,0,8,0.44
9,1,9,0,0,8,0.945
10,1,9,0,0,8,1.98
5,1,11,0,0,8,0.075
6,1,11,0,0,8,0.13
7,1,11,0,0,8,0.165
8,1,11,0,0,8,0.15
9,1,11,0,0,8,0.39
10,1,11,0,0,8,0.935
5,1.5,5,0,0,8,0.19
6,1.5,5,0,0,8,0.98
7,1.5,5,0,0,8,0.955
9,1.5,5,0,0,8,0.82
10,1.5,5,0,0,8,0.705
5,1.5,7,0,0,8,0.14
6,1.5,7,0,0,8,0.83
7,1.5,7,0,0,8,1.24
9,1.5,7,0,0,8,1.35
10,1.5,7,0,0,8,1.285
5,1.5,9,0,0,8,0.105
6,1.5,9,0,0,8,0.295
7,1.5,9,0,0,8,0.68
9,1.5,9,0,0,8,2.03
10,1.5,9,0,0,8,2.04
5,1.5,11,0,0,8,0.075
6,1.5,11,0,0,8,0.13
7,1.5,11,0,0,8,0.165
8,1.5,11,0,0,8,0.275
9,1.5,11,0,0,8,0.675
10,1.5,11,0,0,8,1.685
