Voltage,Flow,Distan,O2,H2o,Frequency,O
8,3.1,9,0,0,8,1.01
8,3.2,9,0,0,8,0.95
8,3.4,9,0,0,8,0.81
8,3.5,9,0,0,8,0.76428571
8,3.7,9,0,0,8,0.65
8,4,9,0,0,8,0.55357143
8,4.5,9,0,0,8,0.41
8,5,9,0,0,8,0.32142857
8,0.3,11,0,0,8,0.03464286
8,0.4,11,0,0,8,0.04285714
8,0.5,11,0,0,8,0.06428571
8,0.6,11,0,0,8,0.07142857
8,0.7,11,0,0,8,0.07785714
8,0.8,11,0,0,8,0.12142857
8,0.9,11,0,0,8,0.19821429
8,1,11,0,0,8,0.27142857
8,1.1,11,0,0,8,0.37142857
8,1.2,11,0,0,8,0.52071429
8,1.3,11,0,0,8,0.58
8,1.4,11,0,0,8,0.66071429
8,1.5,11,0,0,8,0.78571429
8,1.6,11,0,0,8,0.875
8,1.7,11,0,0,8,0.91
8,1.8,11,0,0,8,0.93214286
8,1.9,11,0,0,8,0.98
8,2,11,0,0,8,1.00071429
8,2.1,11,0,0,8,1.02
8,2.2,11,0,0,8,1.03
8,2.3,11,0,0,8,1.04
8,2.4,11,0,0,8,1.05
8,2.5,11,0,0,8,1.05357143
8,2.6,11,0,0,8,1.04
8,2.7,11,0,0,8,1.03571429
8,2.8,11,0,0,8,1
8,2.9,11,0,0,8,0.95
8,3,11,0,0,8,0.91035714
8,3.1,11,0,0,8,0.82
8,3.2,11,0,0,8,0.69928571
8,3.4,11,0,0,8,0.6
8,3.5,11,0,0,8,0.56071429
8,3.7,11,0,0,8,0.46
8,4,11,0,0,8,0.37964286
8,4.5,11,0,0,8,0.28
8,5,11,0,0,8,0.23214286
8,0.5,5,0,0,1,0.07357143
8,0.5,5,0,0,2,0.14535714
8,0.5,5,0,0,3,0.23857143
8,0.5,5,0,0,4,0.34535714
8,0.5,5,0,0,5,0.41785714
8,0.5,5,0,0,6,0.53285714
8,0.5,5,0,0,7,0.625
8,0.5,5,0,0,8,0.74392857
8,0.5,5,0,0,9,0.79285714
8,1,5,0,0,1,0.08821429
8,1,5,0,0,2,0.20035714
8,1,5,0,0,3,0.32964286
8,1,5,0,0,4,0.50392857
8,1,5,0,0,5,0.66071429
8,1,5,0,0,6,0.84571429
8,1,5,0,0,7,1.01785714
8,1,5,0,0,8,1.14321429
8,1,5,0,0,9,1.20464286
8,1.5,5,0,0,1,0.06
8,1.5,5,0,0,2,0.09642857
8,1.5,5,0,0,3,0.13571429
8,1.5,5,0,0,4,0.18964286
8,1.5,5,0,0,5,0.23928571
8,1.5,5,0,0,6,0.32785714
8,1.5,5,0,0,7,0.42142857
8,1.5,5,0,0,8,0.50678571
8,1.5,5,0,0,9,0.53571429
8,2,5,0,0,1,0.02357143
8,2,5,0,0,2,0.0625
8,2,5,0,0,3,0.07857143
8,2,5,0,0,4,0.11428571
8,2,5,0,0,5,0.15714286
8,2,5,0,0,6,0.17928571
8,2,5,0,0,7,0.225
8,2,5,0,0,8,0.255
8,2,5,0,0,9,0.28928571
8,0.5,5,0,0,8,0.74357143
8,0.5,5,0,20,8,0.7575
8,0.5,5,0,40,8,0.74607143
8,0.5,5,0,60,8,0.71392857
8,0.5,5,0,80,8,0.6775
8,0.5,5,0,100,8,0.63107143
8,0.5,5,0,120,8,0.57535714
8,0.5,5,0,150,8,0.53964286
8,0.5,5,0,200,8,0.44428571
8,0.5,5,0,250,8,0.39678571
8,0.5,5,0,300,8,0.35678571
8,0.5,5,0,400,8,0.29892857
8,0.5,5,0,500,8,0.25392857
8,0.5,5,0,600,8,0.21428571
8,0.5,5,0,700,8,0.19035714
8,0.5,5,0,800,8,0.17892857
8,0.5,5,0,1000,8,0.17
8,0.5,5,0,1200,8,0.162
8,1,5,0,0,8,1.10714286
8,1,5,0,20,8,1.19607143
8,1,5,0,40,8,1.24678571
8,1,5,0,60,8,1.25392857
8,1,5,0,80,8,1.21464286
8,1,5,0,100,8,1.15392857
8,1,5,0,120,8,1.07928571
8,1,5,0,150,8,1.01
8,1,5,0,200,8,0.88964286
8,1,5,0,250,8,0.81714286
8,1,5,0,300,8,0.67535714
8,1,5,0,400,8,0.52464286
8,1,5,0,500,8,0.40892857
8,1,5,0,600,8,0.33928571
8,1,5,0,700,8,0.28964286
8,1,5,0,800,8,0.25
8,1,5,0,1000,8,0.22
8,1,5,0,1200,8,0.2
8,1.5,5,0,0,8,0.50678571
8,1.5,5,0,20,8,0.5375
8,1.5,5,0,40,8,0.57464286
8,1.5,5,0,60,8,0.60892857
8,1.5,5,0,80,8,0.63285714
8,1.5,5,0,100,8,0.645
8,1.5,5,0,120,8,0.62571429
8,1.5,5,0,150,8,0.58428571
8,1.5,5,0,200,8,0.50821429
8,1.5,5,0,250,8,0.465
8,1.5,5,0,300,8,0.415
8,1.5,5,0,400,8,0.35714286
8,1.5,5,0,500,8,0.30357143
8,1.5,5,0,600,8,0.26071429
8,1.5,5,0,700,8,0.225
8,1.5,5,0,800,8,0.20357143
8,1.5,5,0,1000,8,0.185
8,1.5,5,0,1200,8,0.17
8,2,5,0,0,8,0.21964286
8,2,5,0,20,8,0.23107143
8,2,5,0,40,8,0.25035714
8,2,5,0,60,8,0.26821429
8,2,5,0,80,8,0.27964286
8,2,5,0,100,8,0.295
8,2,5,0,120,8,0.29892857
8,2,5,0,150,8,0.29535714
8,2,5,0,200,8,0.27607143
8,2,5,0,250,8,0.26035714
8,2,5,0,300,8,0.24285714
8,2,5,0,400,8,0.225
8,2,5,0,500,8,0.20607143
8,2,5,0,600,8,0.19071429
8,2,5,0,700,8,0.17857143
8,2,5,0,800,8,0.17142857
8,2,5,0,1000,8,0.167
8,2,5,0,1200,8,0.159
8,0.5,5,0,0,8,0.74357143
8,0.5,5,0.05,0,8,0.68
8,0.5,5,0.1,0,8,0.60714286
8,0.5,5,0.15,0,8,0.55
8,0.5,5,0.2,0,8,0.51785714
8,0.5,5,0.25,0,8,0.44
8,0.5,5,0.3,0,8,0.405
8,0.5,5,0.35,0,8,0.35
8,0.5,5,0.4,0,8,0.31321429
8,0.5,5,0.45,0,8,0.27
8,0.5,5,0.5,0,8,0.25
8,0.5,5,0.55,0,8,0.23
8,0.5,5,0.6,0,8,0.21428571
8,0.5,5,0.65,0,8,0.191
8,0.5,5,0.7,0,8,0.18571429
8,0.5,5,0.8,0,8,0.16428571
8,0.5,5,0.9,0,8,0.15357143
8,0.5,5,1,0,8,0.14285714
8,0.5,5,1.2,0,8,0.12142857
8,0.5,5,1.4,0,8,0.1
8,0.5,5,1.6,0,8,0.085
8,0.5,5,1.8,0,8,0.07142857
8,0.5,5,2,0,8,0.07857143
8,1,5,0,0,8,1.10714286
8,1,5,0.05,0,8,1.16
8,1,5,0.1,0,8,1.19285714
8,1,5,0.15,0,8,1.22
8,1,5,0.2,0,8,1.20678571
8,1,5,0.25,0,8,1.19
8,1,5,0.3,0,8,1.16071429
8,1,5,0.35,0,8,1.13
8,1,5,0.4,0,8,1.08
8,1,5,0.45,0,8,1.01
8,1,5,0.5,0,8,0.95
8,1,5,0.55,0,8,0.86
8,1,5,0.6,0,8,0.77
8,1,5,0.65,0,8,0.68
8,1,5,0.7,0,8,0.62
8,1,5,0.8,0,8,0.52
8,1,5,0.9,0,8,0.41
8,1,5,1,0,8,0.34
8,1,5,1.2,0,8,0.3
8,1,5,1.4,0,8,0.27
8,1,5,1.6,0,8,0.245
8,1,5,1.8,0,8,0.22
8,1,5,2,0,8,0.18
8,1.5,5,0,0,8,0.50678571
8,1.5,5,0.05,0,8,0.62
8,1.5,5,0.1,0,8,0.68928571
8,1.5,5,0.15,0,8,0.73
8,1.5,5,0.2,0,8,0.77035714
8,1.5,5,0.25,0,8,0.83
8,1.5,5,0.3,0,8,0.85607143
8,1.5,5,0.35,0,8,0.84
8,1.5,5,0.4,0,8,0.80928571
8,1.5,5,0.45,0,8,0.78
8,1.5,5,0.5,0,8,0.73928571
8,1.5,5,0.55,0,8,0.68
8,1.5,5,0.6,0,8,0.64571429
8,1.5,5,0.65,0,8,0.57
8,1.5,5,0.7,0,8,0.51071429
8,1.5,5,0.8,0,8,0.41071429
8,1.5,5,0.9,0,8,0.36071429
8,1.5,5,1,0,8,0.325
8,1.5,5,1.2,0,8,0.29892857
8,1.5,5,1.4,0,8,0.28142857
8,1.5,5,1.6,0,8,0.26
8,1.5,5,1.8,0,8,0.25142857
8,1.5,5,2,0,8,0.21678571
8,2,5,0,0,8,0.25535714
8,2,5,0.05,0,8,0.32
8,2,5,0.1,0,8,0.36142857
8,2,5,0.15,0,8,0.4
8,2,5,0.2,0,8,0.44571429
8,2,5,0.25,0,8,0.47
8,2,5,0.3,0,8,0.49142857
8,2,5,0.35,0,8,0.51
8,2,5,0.4,0,8,0.50928571
8,2,5,0.45,0,8,0.49
8,2,5,0.5,0,8,0.47857143
8,2,5,0.55,0,8,0.46
8,2,5,0.6,0,8,0.45035714
8,2,5,0.65,0,8,0.42
8,2,5,0.7,0,8,0.39285714
8,2,5,0.8,0,8,0.33928571
8,2,5,0.9,0,8,0.28928571
8,2,5,1,0,8,0.25
8,2,5,1.2,0,8,0.22607143
8,2,5,1.4,0,8,0.21428571
8,2,5,1.6,0,8,0.21
8,2,5,1.8,0,8,0.20357143
8,2,5,2,0,8,0.17857143
8,3,5,0,0,8,0.10714286
8,3,5,0.05,0,8,0.13
8,3,5,0.1,0,8,0.16107143
8,3,5,0.15,0,8,0.19
8,3,5,0.2,0,8,0.21357143
8,3,5,0.25,0,8,0.24
8,3,5,0.3,0,8,0.26785714
8,3,5,0.35,0,8,0.29
8,3,5,0.4,0,8,0.30357143
8,3,5,0.45,0,8,0.32
8,3,5,0.5,0,8,0.33214286
8,3,5,0.55,0,8,0.33
8,3,5,0.6,0,8,0.32928571
8,3,5,0.65,0,8,0.317
8,3,5,0.7,0,8,0.31
8,3,5,0.8,0,8,0.275
8,3,5,0.9,0,8,0.258
8,3,5,1,0,8,0.22142857
8,3,5,1.2,0,8,0.185
8,3,5,1.4,0,8,0.16785714
8,3,5,1.6,0,8,0.155
8,3,5,1.8,0,8,0.14285714
8,3,5,2,0,8,0.125
8,1,7,0,0,8,1.15
8,1,7,0.05,0,8,1.135
8,1,7,0.1,0,8,1.11785714
8,1,7,0.15,0,8,1.07
8,1,7,0.2,0,8,1.04142857
8,1,7,0.25,0,8,0.95
8,1,7,0.3,0,8,0.88928571
8,1,7,0.35,0,8,0.79
8,1,7,0.4,0,8,0.68714286
8,1,7,0.45,0,8,0.58
8,1,7,0.5,0,8,0.51071429
8,1,7,0.55,0,8,0.45
8,1,7,0.6,0,8,0.41857143
8,1,7,0.65,0,8,0.37
8,1,7,0.7,0,8,0.35357143
8,1,7,0.8,0,8,0.28928571
8,1,7,0.9,0,8,0.25
8,1,7,1,0,8,0.21428571
8,1,7,1.2,0,8,0.19642857
8,1,7,1.4,0,8,0.17857143
8,1,7,1.8,0,8,0.14285714
8,1,7,2,0,8,0.125
8,1.5,7,0,0,8,1.48928571
8,1.5,7,0.05,0,8,1.46
8,1.5,7,0.1,0,8,1.41428571
8,1.5,7,0.15,0,8,1.35
8,1.5,7,0.2,0,8,1.25
8,1.5,7,0.25,0,8,1.18
8,1.5,7,0.3,0,8,1.13571429
8,1.5,7,0.35,0,8,1.05
8,1.5,7,0.4,0,8,0.96892857
8,1.5,7,0.45,0,8,0.85
8,1.5,7,0.5,0,8,0.75178571
8,1.5,7,0.55,0,8,0.7
8,1.5,7,0.6,0,8,0.63
8,1.5,7,0.65,0,8,0.57
8,1.5,7,0.7,0,8,0.51
8,1.5,7,0.8,0,8,0.41071429
8,1.5,7,0.9,0,8,0.34642857
8,1.5,7,1,0,8,0.30357143
8,1.5,7,1.2,0,8,0.25
8,1.5,7,1.4,0,8,0.22214286
8,1.5,7,1.8,0,8,0.17857143
8,1.5,7,2,0,8,0.15714286
8,2,7,0,0,8,1.07785714
8,2,7,0.05,0,8,1.19
8,2,7,0.1,0,8,1.26607143
8,2,7,0.15,0,8,1.32
8,2,7,0.2,0,8,1.37428571
8,2,7,0.25,0,8,1.42
8,2,7,0.3,0,8,1.45714286
8,2,7,0.35,0,8,1.44
8,2,7,0.4,0,8,1.41821429
8,2,7,0.45,0,8,1.37
8,2,7,0.5,0,8,1.31071429
8,2,7,0.55,0,8,1.2
8,2,7,0.6,0,8,1.1
8,2,7,0.65,0,8,0.99
8,2,7,0.7,0,8,0.94285714
8,2,7,0.8,0,8,0.76
8,2,7,0.9,0,8,0.66071429
8,2,7,1,0,8,0.59428571
8,2,7,1.2,0,8,0.47142857
8,2,7,1.4,0,8,0.33142857
8,2,7,1.8,0,8,0.22642857
8,2,7,2,0,8,0.19714286
8,3,7,0,0,8,0.59714286
8,3,7,0.05,0,8,0.63
8,3,7,0.1,0,8,0.66071429
8,3,7,0.15,0,8,0.71
8,3,7,0.2,0,8,0.74571429
8,3,7,0.25,0,8,0.78
8,3,7,0.3,0,8,0.81678571
8,3,7,0.35,0,8,0.85
8,3,7,0.4,0,8,0.86071429
8,3,7,0.45,0,8,0.862
8,3,7,0.5,0,8,0.85714286
8,3,7,0.55,0,8,0.81
8,3,7,0.6,0,8,0.75392857
8,3,7,0.65,0,8,0.72
8,3,7,0.7,0,8,0.69035714
8,3,7,0.8,0,8,0.61428571
8,3,7,0.9,0,8,0.55928571
8,3,7,1,0,8,0.47607143
8,3,7,1.2,0,8,0.39285714
8,3,7,1.4,0,8,0.31785714
8,3,7,1.8,0,8,0.26785714
8,3,7,2,0,8,0.25
8,1,9,0,0,8,0.57142857
8,1,9,0.05,0,8,0.565
8,1,9,0.1,0,8,0.55535714
8,1,9,0.15,0,8,0.538
8,1,9,0.2,0,8,0.5275
8,1,9,0.25,0,8,0.51
8,1,9,0.3,0,8,0.5
8,1,9,0.35,0,8,0.48
8,1,9,0.4,0,8,0.46785714
8,1,9,0.45,0,8,0.43
8,1,9,0.5,0,8,0.40071429
8,1,9,0.55,0,8,0.37
8,1,9,0.6,0,8,0.33214286
8,1,9,0.65,0,8,0.31
8,1,9,0.7,0,8,0.28142857
8,1,9,0.8,0,8,0.21428571
8,1,9,0.9,0,8,0.17857143
8,1,9,1,0,8,0.15857143
8,1,9,1.2,0,8,0.13071429
8,1,9,1.4,0,8,0.10714286
8,1,9,1.8,0,8,0.07142857
8,1,9,2,0,8,0.06285714
8,2,9,0,0,8,1.19642857
8,2,9,0.05,0,8,1.3
8,2,9,0.1,0,8,1.38571429
8,2,9,0.15,0,8,1.42
8,2,9,0.2,0,8,1.4425
8,2,9,0.25,0,8,1.38
8,2,9,0.3,0,8,1.32142857
8,2,9,0.35,0,8,1.2
8,2,9,0.4,0,8,1.10357143
8,2,9,0.45,0,8,1.05
8,2,9,0.5,0,8,0.98571429
8,2,9,0.55,0,8,0.88
8,2,9,0.6,0,8,0.80321429
8,2,9,0.65,0,8,0.7
8,2,9,0.7,0,8,0.63857143
8,2,9,0.8,0,8,0.42142857
8,2,9,0.9,0,8,0.31321429
8,2,9,1,0,8,0.2375
8,2,9,1.2,0,8,0.15857143
8,2,9,1.4,0,8,0.13178571
8,2,9,1.8,0,8,0.08785714
8,2,9,2,0,8,0.07857143
8,4,9,0,0,8,0.55357143
8,4,9,0.05,0,8,0.57
8,4,9,0.1,0,8,0.595
8,4,9,0.15,0,8,0.62
8,4,9,0.2,0,8,0.6625
8,4,9,0.25,0,8,0.69
8,4,9,0.3,0,8,0.71
8,4,9,0.35,0,8,0.735
8,4,9,0.4,0,8,0.75
8,4,9,0.45,0,8,0.74
8,4,9,0.5,0,8,0.725
8,4,9,0.55,0,8,0.7
8,4,9,0.6,0,8,0.67428571
8,4,9,0.65,0,8,0.65
8,4,9,0.7,0,8,0.595
8,4,9,0.8,0,8,0.5
8,4,9,0.9,0,8,0.39285714
8,4,9,1,0,8,0.32142857
8,4,9,1.2,0,8,0.24178571
8,4,9,1.4,0,8,0.19642857
8,4,9,1.8,0,8,0.16071429
8,4,9,2,0,8,0.14285714
8,2,11,0,0,8,1.00107143
8,2,11,0.1,0,8,0.99571429
8,2,11,0.2,0,8,0.97464286
8,2,11,0.3,0,8,0.93107143
8,2,11,0.4,0,8,0.89071429
8,2,11,0.5,0,8,0.70607143
8,2,11,0.6,0,8,0.50357143
8,2,11,0.7,0,8,0.35714286
8,2,11,0.8,0,8,0.22285714
8,2,11,0.9,0,8,0.19
8,2,11,1,0,8,0.16678571
8,2,11,1.4,0,8,0.14285714
8,2,11,2,0,8,0.11785714
8,3,11,0,0,8,0.91071429
8,3,11,0.1,0,8,0.92857143
8,3,11,0.2,0,8,0.91607143
8,3,11,0.3,0,8,0.83928571
8,3,11,0.4,0,8,0.76607143
8,3,11,0.5,0,8,0.67428571
8,3,11,0.6,0,8,0.60678571
8,3,11,0.7,0,8,0.46428571
8,3,11,0.8,0,8,0.34892857
8,3,11,0.9,0,8,0.29
8,3,11,1,0,8,0.23928571
8,3,11,1.4,0,8,0.17714286
8,3,11,2,0,8,0.14678571
5,0.5,5,0,0,8,0.08928571
5.5,0.5,5,0,0,8,0.2
6,0.5,5,0,0,8,0.45214286
6.5,0.5,5,0,0,8,0.6
7,0.5,5,0,0,8,0.66928571
7.5,0.5,5,0,0,8,0.71
8,0.5,5,0,0,8,0.74357143
8.5,0.5,5,0,0,8,0.77
9,0.5,5,0,0,8,0.78571429
9.5,0.5,5,0,0,8,0.81
10,0.5,5,0,0,8,0.82
5,1,5,0,0,8,0.04
5.5,1,5,0,0,8,0.1
6,1,5,0,0,8,0.17857143
6.5,1,5,0,0,8,0.28
7,1,5,0,0,8,0.42857143
7.5,1,5,0,0,8,0.65
8,1,5,0,0,8,1.075
8.5,1,5,0,0,8,1.45
9,1,5,0,0,8,1.75714286
9.5,1,5,0,0,8,1.95
10,1,5,0,0,8,2.1
5,1.5,5,0,0,8,0.03285714
5.5,1.5,5,0,0,8,0.05
6,1.5,5,0,0,8,0.09071429
6.5,1.5,5,0,0,8,0.13
7,1.5,5,0,0,8,0.17964286
7.5,1.5,5,0,0,8,0.31
8,1.5,5,0,0,8,0.50678571
8.5,1.5,5,0,0,8,0.75
9,1.5,5,0,0,8,1.05
9.5,1.5,5,0,0,8,1.35
10,1.5,5,0,0,8,1.65
5,2,5,0,0,8,0.01785714
5.5,2,5,0,0,8,0.034
6,2,5,0,0,8,0.07142857
6.5,2,5,0,0,8,0.1
7,2,5,0,0,8,0.12
7.5,2,5,0,0,8,0.16
8,2,5,0,0,8,0.255
8.5,2,5,0,0,8,0.36
9,2,5,0,0,8,0.47607143
9.5,2,5,0,0,8,0.6
10,2,5,0,0,8,0.75
